#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
0,6,6,5,43,34,0.36396693372755723,16,0.0003315282342319423,1.6148727680920574,0.3786008232905541
1,4,31,28,33,43,0.0886602150284904,16,1.2856096069432965,14.52618443524396,0.09876543212942626
2,4,23,16,40,12,0.22592145682911707,4,0.0010256779307444219,0.4222194766434132,0.8148148165318211
3,3,6,30,5,61,0.7121465841394647,64,3.158635408267819,13.730229652467578,0.1481481482094698
4,4,7,5,37,26,0.5290987924449414,32,0.9862658461312821,2.4398393837022194,0.1481481482094698
5,6,9,5,45,67,0.8325750451256995,8,0.0007175560918936928,2.4307645632896895,0.1481481482094698
6,1,10,34,12,45,0.27406778727447473,16,0.774263682681127,2.4438802057823525,0.09876543212942626
7,5,34,6,13,68,0.26935155812645684,8,0.018082449348779516,0.8042160915249169,0.7325102885564169
8,5,27,24,44,80,0.26113613673643943,32,0.024968784288843266,2.302893245171127,0.15226337451625754
9,5,41,3,36,91,0.38123044785771054,8,0.00020197857568198785,1.154357391620369,0.54320987580735
10,5,8,41,40,35,0.48168569842834164,16,1.1456687286348726,14.393525445412216,0.1069958848349842
11,3,8,15,47,70,0.3087120588700678,4,0.0002663332725174981,0.6068161640147614,0.6913580268989374
12,5,15,34,9,40,0.883190271690418,64,0.0002920555512182745,2.4408009179825645,0.12757201658354866
13,4,44,33,48,40,0.4336407941296012,4,1.8805040551285834,13.730229652467578,0.1481481482094698
14,4,8,43,50,35,0.2353119760520308,64,0.0045884041264547615,1.5249037767143407,0.36213991745018664
15,5,38,24,20,18,0.5137944490442248,32,0.3833395101766601,2.4246408448788364,0.1481481482094698
16,6,27,42,7,28,0.7875712060373262,8,1.6758078645307688,15.18948065989302,0.05761316872427984
17,3,44,37,3,60,0.19251302504664056,32,0.02005867779508234,0.9771074956827203,0.691358023464925
18,1,30,25,32,13,0.5434411052084932,8,2.8804441533962977,14.260866286823289,0.11522633750988132
19,3,46,35,18,49,0.7171668427283932,64,1.7347593592339325,14.52618443524396,0.09876543212942626
20,5,20,31,14,21,0.6969010604403718,32,0.0033229325163989716,0.5106884199405404,0.7242798358815197
21,1,22,30,13,85,0.18990985194036827,16,4.514967772036102,15.388469405625584,0.04526748974259498
22,5,13,16,7,17,0.21930268404829256,8,0.011403996019700331,0.415376243062716,0.831275720164609
23,4,12,20,36,12,0.8901563340519516,8,0.26818126094530154,2.4415661454691318,0.12757201658354866
24,4,46,7,50,64,0.2963525685506428,16,0.056591701632462424,1.138358852255001,0.4814814824626279
25,5,5,36,21,58,0.6530062711309649,4,0.006483534286054727,1.3823205291489025,0.42386831251191504
26,1,31,41,35,74,0.23426861574606642,32,0.000872852662384838,0.3019841415769279,0.8641975308641975
27,6,50,11,22,61,0.5727560879820327,64,0.002071649675602069,0.7348036542841436,0.6995884778568283
28,5,44,18,41,77,0.5927010850908648,64,0.0004223044187206672,0.9270867803459796,0.5514403294633936
29,1,44,37,16,76,0.39344696536595397,4,0.0013840160965731315,0.32983593961584223,0.880658437930998
30,2,29,46,35,69,0.8345227726760708,4,0.39682461045694817,2.467069028336325,0.12757201658354866
31,6,17,7,23,56,0.7088779637062912,32,0.00014968392930772556,2.5198383321487365,0.1481481482094698
32,4,7,17,11,77,0.6729809480381971,8,2.47967289250216,15.52112861915871,0.037037037037037035
33,4,8,11,11,74,0.0854370519603373,16,2.2612800663372794,14.0618772742189,0.12757201658354866
34,3,33,19,17,57,0.09597133521229355,16,0.017467962151272456,0.5314969273261082,0.7777777765513447
35,1,43,28,12,40,0.2668184844070259,16,4.894289896114532,13.730229652467578,0.1481481482094698
36,2,39,28,5,40,0.7904065682717566,4,0.04928249570040513,1.7275862203213412,0.29218107069470756
37,5,36,21,38,92,0.3026415912229751,4,0.00018207916800994624,0.21581851016469453,0.8971193432807922
38,4,22,37,36,96,0.724685754318226,32,7.077010661181889,14.526184588302801,0.09876543283462524
39,3,4,10,5,91,0.8984336911027669,32,0.00013186214013947485,2.4130528552051436,0.12757201658354866
40,5,37,13,48,61,0.7246290955040451,64,0.0010256779307444219,2.570057093851851,0.0411522633744856
41,1,36,11,39,34,0.42536746626547683,32,0.031080821738690638,0.67220226972682,0.711934156869174
42,2,22,39,13,47,0.5226467086732319,8,0.007109709432312438,0.5693488652691429,0.7448559658517563
43,4,47,21,20,58,0.2527873971022314,8,0.004381689931514195,0.2811077207694819,0.9053497959556893
44,4,18,27,17,36,0.03675935842662769,8,0.00022405278693000182,0.27493380497635145,0.8888888888888888
45,5,13,2,42,59,0.5269814650845547,4,0.7393819919175866,14.0618772742189,0.12757201658354866
46,4,4,16,43,60,0.35505763063186085,8,4.262158829015325,15.454799228244358,0.0411522633744856
47,2,5,21,21,69,0.48743084137202286,4,0.015388177500383463,1.1592333066610643,0.5144032930395731
48,3,9,43,41,86,0.514144453799265,64,2.0621218039991445,13.730229652467578,0.1481481482094698
49,5,12,16,20,42,0.8443572582193359,8,0.0006106407542232036,2.4463061707500566,0.12757201658354866
50,6,38,20,19,66,0.024519137009022984,32,0.0008052039670825478,1.2109538032194225,0.6172839514757871
51,1,29,36,49,13,0.005503173091161284,64,0.01937703337477989,1.599877265255147,0.4362139898072545
52,2,12,12,14,49,0.07366034016689531,32,0.00020197857568198785,0.5660665838561431,0.7654320992560053
53,5,37,24,32,21,0.37836784688705183,32,3.585539857459817,14.0618772742189,0.12757201658354866
54,1,48,24,4,80,0.2758906199922485,64,0.00036776091016010306,0.5435560334611822,0.7325102902734231
55,2,41,39,18,22,0.6868253455784462,16,0.0006394488428556943,0.5400674706133305,0.7119341585861803
56,6,8,6,24,86,0.486115948656537,16,1.6566059589499151,14.0618772742189,0.12757201658354866
57,5,25,30,9,34,0.8805105326478596,32,0.0008145371766280745,2.455823208569499,0.12757201658354866
58,2,6,16,42,97,0.6661369089166659,4,0.0001084014359178331,1.494849912914229,0.36213991794075984
59,2,40,37,14,21,0.34392813546293854,4,1.0327947319189525,14.393525445412216,0.1069958848349842
60,2,21,15,24,60,0.5361059997414402,64,1.9023011886689458,14.260866286823289,0.11522633750988132
61,5,41,31,2,90,0.4566051992882871,16,0.0004174655289253135,0.3307028066964797,0.8436213979505217
62,2,35,49,45,71,0.3942809903488545,8,0.0024911300260677884,0.35756753060062235,0.8395061745565124
63,4,2,8,4,45,0.5246091800570933,16,0.017467962151272456,1.4315436867529472,0.3621399167143268
